# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = competition_model1_model
# start_datetime = 2024-09-06 20:12:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = stan_input_em2024.json
# init = stan_init_em2024.json
# random
#   seed = 3491848488 (Default)
# output
#   file = stan_output_em2024.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0-36-g606a395
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,beta_raw.1,beta_raw.2,beta_raw.3,beta_raw.4,beta_raw.5,beta_raw.6,beta_raw.7,beta_raw.8,beta_raw.9,beta_raw.10,beta_raw.11,beta_raw.12,beta_raw.13,beta_raw.14,beta_raw.15,beta_raw.16,beta_raw.17,beta_raw.18,beta_raw.19,beta_raw.20,beta_raw.21,beta_raw.22,beta_raw.23,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,norm
# Adaptation terminated
# Step size = 0.151695
# Diagonal elements of inverse mass matrix:
# 0.404582, 0.224494, 0.685881, 0.456659, 0.380265, 0.414224, 0.196387, 0.285231, 0.234337, 0.209745, 0.502202, 0.370394, 0.162439, 0.419093, 0.274297, 0.377738, 0.553896, 0.774812, 0.407203, 0.474986, 0.134483, 0.216251, 0.192005, 0.657311, 0.300013, 0.233999, 0.493815, 0.268941, 0.273315, 0.285334, 0.17061, 0.270636, 0.160861, 0.263417, 0.31326, 0.282115, 0.149221, 0.237485, 0.392068, 0.247231, 0.248677, 0.557605, 0.293086, 0.432522, 0.242783, 0.296433, 0.171184
-98.7462,0.826613,0.151695,4,15,0,130.1,1.73228,2.5848,0.304476,1.57443,1.08596,2.4656,0.463171,0.926223,1.76003,3.78687,0.804598,1.51837,1.19701,0.974758,0.799248,0.59796,0.652536,2.32147,0.608164,1.21391,1.93898,1.36202,1.14619,0.322726,0.152342,0.16405,-0.25346,-0.183678,-0.893681,0.388946,-0.0121664,0.613994,0.0548599,0.501228,-0.249563,0.13453,-0.903837,-0.231308,0.892662,-1.45605,0.600299,0.574274,-0.970694,0.457312,1.05487,0.193335,-0.164063,0.152342,0.16405,-0.25346,-0.183678,-0.893681,0.388946,-0.0121664,0.613994,0.0548599,0.501228,-0.249563,0.13453,-0.903837,-0.231308,0.892662,-1.45605,0.600299,0.574274,-0.970694,0.457312,1.05487,0.193335,-0.164063,-0.464194,0.464194
-103.297,0.906243,0.151695,5,31,0,122.235,1.10318,1.94142,0.420427,1.99699,1.13209,0.242099,2.38294,0.561238,3.02462,0.568587,0.529329,0.982911,1.51925,0.663716,1.90058,0.561322,1.62869,0.327343,1.41725,0.359609,2.0134,1.22742,1.64813,0.474793,-0.0525111,-0.00607773,-0.0783057,-0.0499707,0.183973,-0.410317,1.02345,0.85495,-0.256075,0.778076,-0.306967,0.72973,0.149659,-1.27215,0.52127,-0.562726,-1.1321,-0.0601629,-0.49802,0.235508,0.665823,-0.0722202,-0.137147,-0.0525111,-0.00607773,-0.0783057,-0.0499707,0.183973,-0.410317,1.02345,0.85495,-0.256075,0.778076,-0.306967,0.72973,0.149659,-1.27215,0.52127,-0.562726,-1.1321,-0.0601629,-0.49802,0.235508,0.665823,-0.0722202,-0.137147,-0.247693,0.247693
-103.354,0.941518,0.151695,5,31,0,125.68,2.27068,1.52191,0.23576,1.16492,1.78611,1.37605,0.207594,0.923182,1.12263,3.95173,1.19638,1.14512,1.66401,1.84801,0.489096,0.571246,0.270087,1.91374,0.288423,0.647072,5.47452,1.69653,2.00835,0.53004,0.390807,-0.228734,-0.490129,0.266898,-0.528194,-0.0441217,0.1846,1.63828,0.0937052,0.751296,0.339767,0.747128,-0.358393,0.0636738,0.624686,-1.11146,0.302607,-0.768578,-1.17223,0.250295,1.10199,0.508436,-0.403299,0.390807,-0.228734,-0.490129,0.266898,-0.528194,-0.0441217,0.1846,1.63828,0.0937052,0.751296,0.339767,0.747128,-0.358393,0.0636738,0.624686,-1.11146,0.302607,-0.768578,-1.17223,0.250295,1.10199,0.508436,-0.403299,-2.15904,2.15904
-98.475,0.128771,0.151695,4,15,0,129.216,3.05484,2.49032,0.47815,2.24786,2.97475,0.360094,0.265082,0.558045,1.17524,2.46728,1.30724,1.68156,1.88135,1.54304,0.893285,0.347488,0.633122,0.35656,0.458516,1.33548,3.49521,1.2625,1.09053,0.448216,-0.148886,-0.761073,-0.272875,-0.11068,-0.761401,0.246485,0.971633,0.684238,0.0708346,0.924844,-0.651471,0.63819,0.254763,-0.265742,0.46576,-0.542762,-0.0399599,0.196109,-1.26055,0.781516,1.07514,0.282722,-0.15538,-0.148886,-0.761073,-0.272875,-0.11068,-0.761401,0.246485,0.971633,0.684238,0.0708346,0.924844,-0.651471,0.63819,0.254763,-0.265742,0.46576,-0.542762,-0.0399599,0.196109,-1.26055,0.781516,1.07514,0.282722,-0.15538,-1.62145,1.62145
-102.05,0.886117,0.151695,4,31,0,121.489,2.10999,1.23262,0.1499,0.674446,0.793672,1.1684,1.35658,1.53281,1.23049,2.28838,3.91221,1.89933,1.63985,0.863439,0.946448,0.637275,0.635567,1.70661,0.774785,0.545258,2.66054,2.1562,1.27064,0.313813,0.258797,0.959064,-0.207882,0.36461,-0.683037,-0.467,0.447282,0.288818,-0.660607,1.02225,-0.253985,0.984106,-0.531524,-0.468841,1.13461,-0.990731,0.0842988,-0.838812,-1.14892,-0.313947,0.780412,1.00147,-0.191009,0.258797,0.959064,-0.207882,0.36461,-0.683037,-0.467,0.447282,0.288818,-0.660607,1.02225,-0.253985,0.984106,-0.531524,-0.468841,1.13461,-0.990731,0.0842988,-0.838812,-1.14892,-0.313947,0.780412,1.00147,-0.191009,-0.569423,0.569423
-105.944,0.962988,0.151695,5,31,0,133.559,1.53028,5.84243,0.693753,2.94809,1.26839,0.552898,0.625326,0.322516,1.44335,1.6244,0.140928,0.492746,2.09727,0.888732,1.25836,0.61982,1.16191,0.03699,0.492523,0.56991,3.69366,1.58442,1.81251,0.655521,0.388752,-0.643558,-0.268485,-0.0926723,-0.150509,-0.534655,1.05478,2.16939,0.112992,0.6056,0.213723,0.406607,0.775679,-0.369754,-0.17437,-0.763253,-0.900466,-0.312521,-0.795095,0.589635,0.770762,-0.530712,-0.319301,0.388752,-0.643558,-0.268485,-0.0926723,-0.150509,-0.534655,1.05478,2.16939,0.112992,0.6056,0.213723,0.406607,0.775679,-0.369754,-0.17437,-0.763253,-0.900466,-0.312521,-0.795095,0.589635,0.770762,-0.530712,-0.319301,-1.23257,1.23257
